model,horizon,training_rows,training_weeks,first_decision,last_decision,positive_rate,feature_count,model_sha256
price_sector_fe,1,2662,242,2020-12-25,2025-08-08,0.49474079639368895,33,eaa6333b3d31c66df829ec652544d4a7b34166209e3f9dfe71e82651f6ffff03
price_macro_interactions,1,2662,242,2020-12-25,2025-08-08,0.49474079639368895,143,99269fc2a061976d7bf689aa363a0c86b038b6b60437bc60a09865adac8bcabf
price_sector_fe,2,2651,241,2020-12-25,2025-08-01,0.48019615239532254,33,f975dc43e8fb205e3797f5107121d024494c112a8cb1d5e39984c032f3e27511
price_macro_interactions,2,2651,241,2020-12-25,2025-08-01,0.48019615239532254,143,6cac42ee2af0c99277519f583899bc850fef60601e5f4a6437dbc3d69ba5baba
price_sector_fe,4,2629,239,2020-12-25,2025-07-18,0.47394446557626474,33,9e4a307e8f6e1c7da3fa262014846cf278cff81eb39f93cfc0db70344ef34b98
price_macro_interactions,4,2629,239,2020-12-25,2025-07-18,0.47394446557626474,143,dcd445c7c8316f95dc6e6cffd20b73e69678b3de0a8cf7deb779682a5de5ae7b
price_sector_fe,8,2585,235,2020-12-25,2025-06-20,0.4626692456479691,33,b073c726bb019067a2a62a743aebccd47126ee150119c7174060b1f82ecd76f2
price_macro_interactions,8,2585,235,2020-12-25,2025-06-20,0.4626692456479691,143,9eeb5d5bafb5964be70aa3bf0c84dbc03484c29ab3c65f015f66e41289aba5e8
price_sector_fe,12,2541,231,2020-12-25,2025-05-23,0.452577725304998,33,8670fb3471aafe3dc02c4c153d8872808d323bb5ddf2217ae2303f85f82b3885
price_macro_interactions,12,2541,231,2020-12-25,2025-05-23,0.452577725304998,143,6e08f532e9d003c9119bda46777b88c3b2019e08480807e4d5f6ef833a660c3e
