horizon,fold,model,rows,max_abs_score_diff,exact_numeric_match_1e-12,phase4_gate_pass
1,1,price_sector_fe,286,5.551115123125783e-17,True,True
1,1,price_macro_interactions,286,1.1102230246251565e-16,True,True
1,1,price_macro_rrg,286,7.908818044910504e-11,False,True
1,2,price_sector_fe,286,5.551115123125783e-17,True,True
1,2,price_macro_interactions,286,9.71445146547012e-17,True,True
1,2,price_macro_rrg,286,5.78181946764289e-12,False,True
1,3,price_sector_fe,286,5.551115123125783e-17,True,True
1,3,price_macro_interactions,286,9.71445146547012e-17,True,True
1,3,price_macro_rrg,286,1.1958933843203567e-11,False,True
1,4,price_sector_fe,88,5.551115123125783e-17,True,True
1,4,price_macro_interactions,88,5.551115123125783e-17,True,True
1,4,price_macro_rrg,88,7.988054662178001e-13,True,True
2,1,price_sector_fe,286,5.551115123125783e-17,True,True
2,1,price_macro_interactions,286,1.1102230246251565e-16,True,True
2,1,price_macro_rrg,286,9.404743650520686e-11,False,True
2,2,price_sector_fe,286,5.551115123125783e-17,True,True
2,2,price_macro_interactions,286,8.326672684688674e-17,True,True
2,2,price_macro_rrg,286,6.177280909014371e-13,True,True
2,3,price_sector_fe,286,5.551115123125783e-17,True,True
2,3,price_macro_interactions,286,1.1102230246251565e-16,True,True
2,3,price_macro_rrg,286,7.384093336781916e-13,True,True
2,4,price_sector_fe,77,5.551115123125783e-17,True,True
2,4,price_macro_interactions,77,1.1102230246251565e-16,True,True
2,4,price_macro_rrg,77,3.927969061123804e-13,True,True
4,1,price_sector_fe,286,5.551115123125783e-17,True,True
4,1,price_macro_interactions,286,1.1102230246251565e-16,True,True
4,1,price_macro_rrg,286,3.3069103011484913e-12,False,True
4,2,price_sector_fe,286,5.551115123125783e-17,True,True
4,2,price_macro_interactions,286,1.1102230246251565e-16,True,True
4,2,price_macro_rrg,286,1.694293028098315e-08,False,True
4,3,price_sector_fe,286,5.551115123125783e-17,True,True
4,3,price_macro_interactions,286,1.1102230246251565e-16,True,True
4,3,price_macro_rrg,286,1.296639462466942e-10,False,True
4,4,price_sector_fe,55,5.551115123125783e-17,True,True
4,4,price_macro_interactions,55,1.1102230246251565e-16,True,True
4,4,price_macro_rrg,55,1.2687207395778444e-09,False,True
8,1,price_sector_fe,286,5.551115123125783e-17,True,True
8,1,price_macro_interactions,286,1.1102230246251565e-16,True,True
8,1,price_macro_rrg,286,8.455705202692343e-08,False,True
8,2,price_sector_fe,286,8.326672684688674e-17,True,True
8,2,price_macro_interactions,286,1.1102230246251565e-16,True,True
8,2,price_macro_rrg,286,2.598960491262403e-09,False,True
8,3,price_sector_fe,286,8.326672684688674e-17,True,True
8,3,price_macro_interactions,286,1.1102230246251565e-16,True,True
8,3,price_macro_rrg,286,1.1577150638153455e-06,False,True
8,4,price_sector_fe,11,0.0,True,True
8,4,price_macro_interactions,11,8.326672684688674e-17,True,True
8,4,price_macro_rrg,11,1.2176405439490168e-09,False,True
12,1,price_sector_fe,286,8.326672684688674e-17,True,True
12,1,price_macro_interactions,286,1.1102230246251565e-16,True,True
12,1,price_macro_rrg,286,2.1343360412373613e-10,False,True
12,2,price_sector_fe,286,8.326672684688674e-17,True,True
12,2,price_macro_interactions,286,1.1102230246251565e-16,True,True
12,2,price_macro_rrg,286,2.984289870777701e-09,False,True
12,3,price_sector_fe,253,8.326672684688674e-17,True,True
12,3,price_macro_interactions,253,1.1102230246251565e-16,True,True
12,3,price_macro_rrg,253,1.58552004858592e-10,False,True
