symbol,horizon,model_ready_rows,folds,first_validation_timestamp,last_validation_timestamp,development_rrg_end,holdout_start,holdout_end
XLB,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLC,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLE,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLF,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLI,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLK,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLP,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLRE,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLU,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLV,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLY,1,334,13,2022-03-25 23:59:59.999999999+00:00,2025-06-13 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLB,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLC,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLE,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLF,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLI,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLK,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLP,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLRE,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLU,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLV,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLY,2,333,13,2022-04-01 23:59:59.999999999+00:00,2025-06-20 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
XLB,4,331,13,2022-04-15 23:59:59.999999999+00:00,2025-07-04 23:59:59.999999999+00:00,2025-08-15 23:59:59.999999999+00:00,2025-08-22 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00
