horizon,model,n,mean_coordinate_distance,quadrant_accuracy,macro_f1
1,hist_gradient_boosting,1859,6.482381177788155,0.7407208176438945,0.6943671213620256
1,linear,1859,4.399874280639117,0.8246369015599785,0.7847147002335324
1,persistence,1859,6.301796853786,0.7412587412587412,0.6840177361586962
2,hist_gradient_boosting,1859,8.405617039033402,0.6438945669714901,0.5971822636399765
2,linear,1859,5.991378195526824,0.7563206024744487,0.7104734277274314
2,persistence,1859,8.792794872183881,0.650887573964497,0.5923293319979012
4,hist_gradient_boosting,1859,10.63533049950581,0.5379236148466918,0.5076842742784421
4,linear,1859,8.257397480428223,0.6385153308230231,0.5972740335700255
4,persistence,1859,12.912650338399027,0.5121032813340506,0.4485109875733674
8,hist_gradient_boosting,1716,12.910004701231156,0.4184149184149184,0.39111501917181746
8,linear,1716,11.49215867627227,0.48892773892773894,0.47027053867877655
8,persistence,1716,18.90420377659667,0.2977855477855478,0.28157116863420106
