symbol,decision_timestamp,target_timestamp,horizon,lookback,training_rows,training_last_decision,training_last_target,current_rs_ratio,current_rs_momentum,current_quadrant,predicted_rs_ratio,predicted_rs_momentum,predicted_quadrant
XLB,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.20441668388499,109.09378890068689,Leading,96.50529707544699,104.47164916727078,Improving
XLB,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.20441668388499,109.09378890068689,Leading,98.16259183135675,105.97030196263808,Improving
XLB,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.20441668388499,109.09378890068689,Leading,98.39501341799036,101.13682807995286,Improving
XLB,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.20441668388499,109.09378890068689,Leading,93.99825364845107,95.00640049618141,Lagging
XLC,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,92.61250635432013,115.18675985489747,Improving,91.60606010576439,115.81062827575465,Improving
XLC,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,92.61250635432013,115.18675985489747,Improving,98.44420386749,121.66429680021153,Improving
XLC,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,92.61250635432013,115.18675985489747,Improving,97.04878069632832,112.37498680706281,Improving
XLC,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,92.61250635432013,115.18675985489747,Improving,100.8345998370085,108.48495702918595,Leading
XLE,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,102.06616412396582,118.82158113750492,Leading,104.05222914906365,115.31089706931672,Leading
XLE,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,102.06616412396582,118.82158113750492,Leading,109.02814764420668,116.40662402628286,Leading
