symbol,decision_timestamp,current_quadrant,1w_target_timestamp,1w_quadrant,1w_rs_ratio,1w_rs_momentum,2w_target_timestamp,2w_quadrant,2w_rs_ratio,2w_rs_momentum,4w_target_timestamp,4w_quadrant,4w_rs_ratio,4w_rs_momentum,8w_target_timestamp,8w_quadrant,8w_rs_ratio,8w_rs_momentum
XLB,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Improving,96.50529707544699,104.47164916727078,2026-08-28 23:59:59.999999999+00:00,Improving,98.16259183135675,105.97030196263808,2026-09-11 23:59:59.999999999+00:00,Improving,98.39501341799036,101.13682807995286,2026-10-09 23:59:59.999999999+00:00,Lagging,93.99825364845107,95.00640049618141
XLC,2026-08-14 23:59:59.999999999+00:00,Improving,2026-08-21 23:59:59.999999999+00:00,Improving,91.60606010576439,115.81062827575465,2026-08-28 23:59:59.999999999+00:00,Improving,98.44420386749,121.66429680021153,2026-09-11 23:59:59.999999999+00:00,Improving,97.04878069632832,112.37498680706281,2026-10-09 23:59:59.999999999+00:00,Leading,100.8345998370085,108.48495702918595
XLE,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Leading,104.05222914906365,115.31089706931672,2026-08-28 23:59:59.999999999+00:00,Leading,109.02814764420668,116.40662402628286,2026-09-11 23:59:59.999999999+00:00,Leading,105.47946167797019,109.59841408267128,2026-10-09 23:59:59.999999999+00:00,Lagging,95.48523037781322,96.88791787865304
XLF,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Leading,107.84779878488251,113.4752912548614,2026-08-28 23:59:59.999999999+00:00,Leading,108.69859822321695,112.7697443387327,2026-09-11 23:59:59.999999999+00:00,Weakening,103.31898893598269,94.64649121727712,2026-10-09 23:59:59.999999999+00:00,Weakening,101.4328695926311,84.91445539291911
XLI,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Leading,101.21914908747763,107.74195351258604,2026-08-28 23:59:59.999999999+00:00,Leading,100.84149606567664,106.71387272992456,2026-09-11 23:59:59.999999999+00:00,Lagging,95.24562942398475,93.36394612313117,2026-10-09 23:59:59.999999999+00:00,Lagging,97.88757355490854,93.04339901903865
XLK,2026-08-14 23:59:59.999999999+00:00,Lagging,2026-08-21 23:59:59.999999999+00:00,Lagging,94.73633193014467,79.03572558627238,2026-08-28 23:59:59.999999999+00:00,Lagging,89.25678743515884,73.27029392674066,2026-09-11 23:59:59.999999999+00:00,Lagging,98.32260363224334,92.12793061258178,2026-10-09 23:59:59.999999999+00:00,Improving,99.86689535817506,102.41238008816286
XLP,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Improving,96.51647741101667,103.07326749004784,2026-08-28 23:59:59.999999999+00:00,Improving,99.34869745439637,105.29448504210822,2026-09-11 23:59:59.999999999+00:00,Lagging,97.33936304383755,97.9101081736878,2026-10-09 23:59:59.999999999+00:00,Lagging,95.40758997200686,94.7125903590878
XLRE,2026-08-14 23:59:59.999999999+00:00,Improving,2026-08-21 23:59:59.999999999+00:00,Improving,98.63298319827263,101.47657513939426,2026-08-28 23:59:59.999999999+00:00,Leading,103.46199154379495,107.45577067199227,2026-09-11 23:59:59.999999999+00:00,Leading,100.9279160319099,100.80883922040675,2026-10-09 23:59:59.999999999+00:00,Lagging,97.04455958093197,94.5515794803132
XLU,2026-08-14 23:59:59.999999999+00:00,Improving,2026-08-21 23:59:59.999999999+00:00,Improving,91.15023367787703,107.66429085056842,2026-08-28 23:59:59.999999999+00:00,Improving,93.14764581268985,107.35157778917022,2026-09-11 23:59:59.999999999+00:00,Lagging,91.7254538796792,99.22370398577672,2026-10-09 23:59:59.999999999+00:00,Improving,98.07057704123076,100.83207150228097
XLV,2026-08-14 23:59:59.999999999+00:00,Leading,2026-08-21 23:59:59.999999999+00:00,Leading,106.19942966625703,107.08087046955482,2026-08-28 23:59:59.999999999+00:00,Leading,109.64250565102186,110.44277525890426,2026-09-11 23:59:59.999999999+00:00,Lagging,97.28870671686042,87.63366678344067,2026-10-09 23:59:59.999999999+00:00,Lagging,97.3754145663235,90.13046518157849
XLY,2026-08-14 23:59:59.999999999+00:00,Improving,2026-08-21 23:59:59.999999999+00:00,Improving,94.79321092546108,102.61265398090224,2026-08-28 23:59:59.999999999+00:00,Improving,94.85883856905913,104.34393322576193,2026-09-11 23:59:59.999999999+00:00,Improving,98.69005624187004,105.8099257634573,2026-10-09 23:59:59.999999999+00:00,Improving,97.96730323685229,101.68360149488848
