decision_timestamp,top3_overlap,forecast_names_changed,persistence_names_changed
2022-03-18 23:59:59.999999999+00:00,3,,
2022-03-25 23:59:59.999999999+00:00,2,1.0,0.0
2022-04-01 23:59:59.999999999+00:00,2,2.0,1.0
2022-04-08 23:59:59.999999999+00:00,2,2.0,0.0
2022-04-15 23:59:59.999999999+00:00,2,0.0,0.0
2022-04-22 23:59:59.999999999+00:00,3,0.0,1.0
2022-04-29 23:59:59.999999999+00:00,3,0.0,0.0
2022-05-06 23:59:59.999999999+00:00,3,1.0,1.0
2022-05-13 23:59:59.999999999+00:00,2,1.0,1.0
2022-05-20 23:59:59.999999999+00:00,2,0.0,0.0
2022-05-27 23:59:59.999999999+00:00,2,1.0,1.0
2022-06-03 23:59:59.999999999+00:00,3,1.0,0.0
2022-06-10 23:59:59.999999999+00:00,1,2.0,1.0
2022-06-17 23:59:59.999999999+00:00,1,3.0,2.0
2022-06-24 23:59:59.999999999+00:00,2,1.0,1.0
2022-07-01 23:59:59.999999999+00:00,2,1.0,1.0
2022-07-08 23:59:59.999999999+00:00,3,1.0,0.0
2022-07-15 23:59:59.999999999+00:00,3,0.0,0.0
2022-07-22 23:59:59.999999999+00:00,2,2.0,2.0
2022-07-29 23:59:59.999999999+00:00,3,0.0,1.0
2022-08-05 23:59:59.999999999+00:00,2,1.0,0.0
2022-08-12 23:59:59.999999999+00:00,2,1.0,0.0
2022-08-19 23:59:59.999999999+00:00,3,0.0,1.0
2022-08-26 23:59:59.999999999+00:00,2,2.0,1.0
2022-09-02 23:59:59.999999999+00:00,2,1.0,1.0
2022-09-09 23:59:59.999999999+00:00,2,1.0,1.0
2022-09-16 23:59:59.999999999+00:00,3,0.0,1.0
2022-09-23 23:59:59.999999999+00:00,2,2.0,1.0
2022-09-30 23:59:59.999999999+00:00,2,2.0,2.0
2022-10-07 23:59:59.999999999+00:00,2,1.0,1.0
2022-10-14 23:59:59.999999999+00:00,2,2.0,0.0
2022-10-21 23:59:59.999999999+00:00,3,1.0,0.0
2022-10-28 23:59:59.999999999+00:00,1,2.0,0.0
2022-11-04 23:59:59.999999999+00:00,3,1.0,2.0
2022-11-11 23:59:59.999999999+00:00,2,1.0,1.0
2022-11-18 23:59:59.999999999+00:00,2,1.0,1.0
2022-11-25 23:59:59.999999999+00:00,2,1.0,1.0
2022-12-02 23:59:59.999999999+00:00,2,1.0,0.0
2022-12-09 23:59:59.999999999+00:00,2,1.0,1.0
2022-12-16 23:59:59.999999999+00:00,2,1.0,1.0
2022-12-23 23:59:59.999999999+00:00,3,1.0,1.0
2022-12-30 23:59:59.999999999+00:00,3,0.0,0.0
2023-01-06 23:59:59.999999999+00:00,3,1.0,1.0
2023-01-13 23:59:59.999999999+00:00,2,0.0,1.0
2023-01-20 23:59:59.999999999+00:00,3,0.0,1.0
2023-01-27 23:59:59.999999999+00:00,3,1.0,1.0
2023-02-03 23:59:59.999999999+00:00,3,0.0,0.0
2023-02-10 23:59:59.999999999+00:00,3,1.0,1.0
2023-02-17 23:59:59.999999999+00:00,3,0.0,0.0
2023-02-24 23:59:59.999999999+00:00,3,0.0,0.0
2023-03-03 23:59:59.999999999+00:00,3,0.0,0.0
2023-03-10 23:59:59.999999999+00:00,3,0.0,0.0
2023-03-17 23:59:59.999999999+00:00,3,0.0,0.0
2023-03-24 23:59:59.999999999+00:00,3,0.0,0.0
2023-03-31 23:59:59.999999999+00:00,2,1.0,0.0
2023-04-07 23:59:59.999999999+00:00,1,2.0,1.0
2023-04-14 23:59:59.999999999+00:00,2,1.0,2.0
2023-04-21 23:59:59.999999999+00:00,2,1.0,1.0
2023-04-28 23:59:59.999999999+00:00,3,2.0,1.0
2023-05-05 23:59:59.999999999+00:00,2,2.0,1.0
2023-05-12 23:59:59.999999999+00:00,2,1.0,1.0
2023-05-19 23:59:59.999999999+00:00,1,1.0,2.0
2023-05-26 23:59:59.999999999+00:00,2,2.0,1.0
2023-06-02 23:59:59.999999999+00:00,1,1.0,2.0
2023-06-09 23:59:59.999999999+00:00,3,1.0,1.0
2023-06-16 23:59:59.999999999+00:00,2,1.0,1.0
2023-06-23 23:59:59.999999999+00:00,3,0.0,1.0
2023-06-30 23:59:59.999999999+00:00,2,1.0,0.0
2023-07-07 23:59:59.999999999+00:00,2,1.0,1.0
2023-07-14 23:59:59.999999999+00:00,1,0.0,1.0
2023-07-21 23:59:59.999999999+00:00,3,0.0,2.0
2023-07-28 23:59:59.999999999+00:00,2,1.0,0.0
2023-08-04 23:59:59.999999999+00:00,2,1.0,1.0
2023-08-11 23:59:59.999999999+00:00,2,1.0,1.0
2023-08-18 23:59:59.999999999+00:00,2,1.0,1.0
2023-08-25 23:59:59.999999999+00:00,2,1.0,2.0
2023-09-01 23:59:59.999999999+00:00,2,1.0,1.0
2023-09-08 23:59:59.999999999+00:00,3,0.0,1.0
2023-09-15 23:59:59.999999999+00:00,3,0.0,0.0
2023-09-22 23:59:59.999999999+00:00,3,0.0,0.0
2023-09-29 23:59:59.999999999+00:00,3,1.0,1.0
2023-10-06 23:59:59.999999999+00:00,2,1.0,1.0
2023-10-13 23:59:59.999999999+00:00,3,0.0,1.0
2023-10-20 23:59:59.999999999+00:00,3,1.0,1.0
2023-10-27 23:59:59.999999999+00:00,3,1.0,1.0
2023-11-03 23:59:59.999999999+00:00,2,1.0,0.0
2023-11-10 23:59:59.999999999+00:00,2,1.0,0.0
